Data Domain L1,Data Domain L2,Data Domain L3
Finance,"Controlling, planning and perform. Mgmt.",Controlling Area
Finance,"Controlling, planning and perform. Mgmt.","Cost Centers (Hierarchy, Groups)"
Finance,"Controlling, planning and perform. Mgmt.",Cost Element Hierarchy (including Protein)
Finance,"Controlling, planning and perform. Mgmt.",Internal Order
Finance,"Controlling, planning and perform. Mgmt.",Financial Product Reporting Structures
Finance,"Controlling, planning and perform. Mgmt.",Volume sold 
Finance,"Controlling, planning and perform. Mgmt.",Gross to net sales
Finance,"Controlling, planning and perform. Mgmt.",Volume produced valorization
Finance,"Controlling, planning and perform. Mgmt.",Profit center & Profit Center Hierarchy
Finance,Finance Organization Structure,Company Code
Finance,Finance Organization Structure,Trading partner (= reporting unit)
Finance,Finance Organization Structure,Legal entity
Finance,Finance Organization Structure,Segments (Business area)
Finance,Finance Organization Structure,Interco Golden set MD
Finance,Reporting Structure,"Consolidated
 Legal Entry (=Reporting unit)"
Finance,Reporting Structure,Technical Hierarchy structure
Finance,Reporting Structure,Customer Intercompany & hierarchy
Finance,Reporting Structure,Finance Product attributes
Finance,Reporting Structure,Magnitude hierarchy
Finance,Strategic Finance,Environmental KPI’S
Finance,Strategic Finance,Social KPI’s
Finance,Taxes,Distribution Types for gross income tax
Finance,Taxes,Tax classification conditions
Finance,Taxes,Taxes for materials
Finance,Taxes,Tax types
Finance,Transactional Finance,Asset Management (value & depreciation)
Finance,Transactional Finance,WWCA & General Ledger Account (MD & Settings)
Finance,Transactional Finance,Account determination & Valuation class (Transaction type & GL Stock & GL)
Finance,Treasury,Bank Master
Finance,Treasury,Business Partner
Finance,Treasury,Cash Management
Finance,Treasury,House Bank and House Bank accounts
Finance,Treasury,Foreign Exchange
Finance,Treasury,Direct and Indirect quoted Exchange Rate
Human Resources,Employee Management,Personal*
Human Resources,Employee Management,Employee Data Not Sensitive*
Human Resources,Employee Management,Headcount KPI
Human Resources,Employee Management,Job Information*
Human Resources,Employee Management,CEW
Human Resources,Talent Management,Performance & Development*
Human Resources,Position Management,Position*
Human Resources,Position Management,Organizational Information*
Human Resources,Position Management,FTE KPI
Human Resources,Rewards,Compensation*
Human Resources,Payroll,Payroll Master Record
Human Resources,Payroll,Payroll Accuracy (End-to-End)
Human Resources,Payroll,Payroll Accuracy (Internal)
Human Resources,Payroll,Total Number of Employees with inaccurate payroll (absolute value)
Human Resources,Payroll,Payment Timeliness
Human Resources,Recruitment,Candidate Profile Master
Human Resources,Recruitment,Professional Experience
Human Resources,Recruitment,Education History
Human Resources,Recruitment,Job Requisition
Human Resources,Recruitment, Application Source Tracking
Human Resources,Recruitment,Recruitment Workflow Logs
Human Resources,Recruitment,Time to Fill 
Human Resources,Recruitment,Offer Acceptance Rate
Human Resources,Recruitment,Drop-off Rate by Funnel Stage
Human Resources,Recruitment,Profile Completeness Score
Human Resources,Recruitment,Conversion Rate by Source Channel
Human Resources,Recruitment,GDPR Consent Records
Human Resources,Learning,Learning module Catalog
Human Resources,Learning,Training Completion Records
Human Resources,Learning,Learning User Data Master
Human Resources,Learning,Certification Repository
Human Resources,Learning,Certification Rate (for Mandatory programs)
Human Resources,Learning,Learning Path Assignments
Human Resources,Learning,Feedback & Evaluation Scores
Human Resources,Learning,Training Completion Rate
Human Resources,Learning,Average Training Hours per Employee
Human Resources,Learning,Cross-charging tracking
Human Resources,Learning,Training Budget Utilization
Marketing,Campaigns (plan/delivery),Media Campaigns
Marketing,Campaigns (plan/delivery),Media Spend
Marketing,Campaigns (plan/delivery),Consumer/HCP non media digital campaigns
Marketing,"Consumer, Shopper, HCP (declarative + behavioral)",Penetration (HHP)
Marketing,"Consumer, Shopper, HCP (declarative + behavioral)",Organic search
Marketing,"Consumer, Shopper, HCP (declarative + behavioral)",Geolocation
Marketing,"Consumer, Shopper, HCP (declarative + behavioral)",Social Intelligence
Marketing,"Consumer, Shopper, HCP (declarative + behavioral)",Shopper surveys
Marketing,"Consumer, Shopper, HCP (declarative + behavioral)",Retail 2nd P consumer data (cards)
Marketing,"Consumer, Shopper, HCP (declarative + behavioral)",Occasions
Marketing,"Consumer, Shopper, HCP (declarative + behavioral)",Benefit platforms
Marketing,"Consumer, Shopper, HCP (declarative + behavioral)",Touchpoints surveys
Marketing,"Consumer, Shopper, HCP (declarative + behavioral)",Demand Gen Surveys
Marketing,"Consumer, Shopper, HCP (declarative + behavioral)",HCP surveys
Marketing,"Consumer, Shopper, HCP (declarative + behavioral)",D2C transactions (HH centric)
Marketing,Marketing Content,Licensing
Marketing,Marketing Content,"Marketing Content Tests (e.g., A/B tests)"
Marketing,Owned assets & platforms (digital),Digital Asset Mgmt (DAM)
Marketing,Owned assets & platforms (digital),Consumer/HCP Web Analytics
Marketing,Owned assets & platforms (digital),Publisher platforms perf
Marketing,Owned assets & platforms (digital),Online / media ratings
Marketing,Owned assets & platforms (digital),CRM assets
Marketing,CRM & identity management,"CDP-like data (predictive, segments)"
Marketing,CRM & identity management,HCP MedReps CRM (identity & platform)
Marketing,CRM & identity management,HCP Identity & consent management
Marketing,CRM & identity management,Consumer Identity & consent management
Marketing,CRM & identity management,Other CDP type of data (influencers)
Marketing,Competition / benchmarking,TV/Offline Share of voice
Marketing,Competition / benchmarking,Online Share of voice
Marketing,Competition / benchmarking,Industry benchmarks
Marketing,Tests,Copy Testing
Marketing,Tests,Concept Testing
Marketing,Tests,Full Mix Testing 
Marketing,Tests,Pack testing (NIQ)
Marketing,Tests,Effectiveness surveys (uplifts)
Marketing,Tests,IRO business case (TBD)
Marketing,Brand Performance,Brand Health Tracker (BHT)
Marketing,Brand Performance,Distinctive Brand Asset (DBA)
Marketing,Brand Performance,Sell-out (RMS) off premise
Marketing,Brand Performance,Sell-out (RMS) on premise
Marketing,Brand Performance,Sell-out (RMS) from retailer data -  Sales
Marketing,Brand Performance,Difficult channels (eg proxy) sell-out
Marketing,"Market/Categ/TA def. size, trends, drivers","Context drivers (eg GDP, births)"
Marketing,"Market/Categ/TA def. size, trends, drivers",Demand spaces
Marketing,"Market/Categ/TA def. size, trends, drivers",Trends and macro shifts
Marketing,"Market/Categ/TA def. size, trends, drivers",Categ & TA Sizing
Marketing,"Market/Categ/TA def. size, trends, drivers",=$^p)m
Marketing,"Market/Categ/TA def. size, trends, drivers",Specific marketing mappings
Operations,Supply Chain Planning,Demand & Forecast
Operations,Supply Chain Planning,Product New & Discontinued
Operations,Supply Chain Planning,Production Plan
Operations,Supply Chain Planning,Nbet 
Operations,Supply Chain Planning,Transportation Requirements
Operations,Supply Chain Planning,Material Requirements Plan
Operations,Supply Chain Planning,Vendor Managed Inventory
Operations,Warehousing,Themis Inventory - batch managed
Operations,Warehousing,Themis Inventory - non-batch managed
Operations,Warehousing,Non-Themis Inventory (SAP ERP)
Operations,Warehousing,Non-Themis Inventory (Non-SAP ERP)
Operations,Warehousing,Pallet level inventory
Operations,Warehousing,Packing & Loading Specifications
